company_name,high,low,last_price,prev_close,change,percent_gain
Apar Ind,"9,855.00","8,501.00","9,681.50","8,665.00","1,016.50",11.73
Netweb,"1,994.70","1,812.50","1,972.80","1,827.50",145.30,7.95
AFFLE 3I,"2,025.00","1,805.10","1,985.40","1,839.80",145.60,7.91
Welspun Corp,931.00,858.05,924.55,863.00,61.55,7.13
Tata Chemicals,"1,004.90",949.00,"1,000.00",934.35,65.65,7.03
PNC Infratech,321.95,304.35,319.30,299.05,20.25,6.77
Birlasoft,412.80,383.90,409.75,385.25,24.50,6.36
Motilal Oswal,942.00,880.00,937.40,883.10,54.30,6.15
Granules India,492.00,464.00,490.45,463.20,27.25,5.88
Deepak Fert,"1,618.90","1,500.40","1,607.40","1,520.40",87.00,5.72
Transformers,512.25,476.00,509.25,482.45,26.80,5.55
Abbott India,"34,750.00","32,865.00","34,710.00","32,895.00","1,815.00",5.52
JB Chemicals,"1,812.70","1,710.30","1,802.60","1,709.80",92.80,5.43
JB Chemicals,"1,812.70","1,710.30","1,802.60","1,709.80",92.80,5.43
Authum Invest,"2,840.00","2,640.00","2,825.60","2,684.10",141.50,5.27
Varun Beverages,514.80,478.05,512.15,486.75,25.40,5.22
Varun Beverages,514.80,478.05,512.15,486.75,25.40,5.22
Varun Beverages,514.80,478.05,512.15,486.75,25.40,5.22
Jaiprakash Pow,21.43,20.12,21.43,20.41,1.02,5
Go Digit,374.75,352.20,360.80,344.00,16.80,4.88
Hitachi Energy,"19,900.00","18,800.00","19,790.00","18,880.00",910.00,4.82
Tanla Platforms,644.95,609.00,642.85,614.15,28.70,4.67
Amber Enterpris,"8,008.50","7,252.00","7,810.50","7,465.50",345.00,4.62
Jio Financial,322.50,306.30,321.10,307.35,13.75,4.47
Bosch,"40,120.00","37,615.00","39,915.00","38,235.00","1,680.00",4.39
SUMITOMO,612.00,576.10,604.70,580.30,24.40,4.2
LT Foods,503.90,478.85,500.70,480.60,20.10,4.18
Reliance Power,56.50,51.80,56.17,53.94,2.23,4.13
Hind Copper,260.45,245.15,258.40,248.30,10.10,4.07
Valor Estate,187.01,178.00,185.28,178.11,7.17,4.03
Torrent Pharma,"3,784.80","3,660.20","3,768.10","3,622.90",145.20,4.01
Adani Power,594.70,566.30,592.55,570.65,21.90,3.84
IIFL Finance,520.00,495.00,514.90,496.25,18.65,3.76
Raymond Life,"1,134.90","1,069.90","1,130.10","1,089.80",40.30,3.7
Usha Martin,383.00,364.55,378.50,365.00,13.50,3.7
HBL Eng,582.60,551.60,579.50,559.00,20.50,3.67
Techno Electric,"1,470.90","1,401.00","1,462.50","1,411.40",51.10,3.62
Lodha Developer,"1,256.00","1,211.10","1,246.50","1,203.20",43.30,3.6
Shyam Metalics,999.90,952.05,992.15,957.70,34.45,3.6
BASF,"5,100.00","4,848.50","5,052.50","4,878.00",174.50,3.58
BLS Internation,373.80,356.65,372.70,360.00,12.70,3.53
Sarda Energy,448.90,429.60,446.05,431.05,15.00,3.48
Sarda Energy,448.90,429.60,446.05,431.05,15.00,3.48
NCC,223.69,214.09,222.98,215.51,7.47,3.47
Coromandel Int,"2,537.80","2,401.30","2,495.40","2,412.90",82.50,3.42
Swan Energy,485.00,462.85,482.40,466.45,15.95,3.42
Craftsman,"6,500.00","5,954.00","6,448.00","6,236.00",212.00,3.4
Oil India,442.30,428.50,440.70,426.30,14.40,3.38
PI Industries,"4,258.00","4,039.70","4,249.50","4,113.00",136.50,3.32
Aarti Ind,444.40,428.75,442.10,428.50,13.60,3.17
GE Vernova TD,"2,500.90","2,372.20","2,473.40","2,398.60",74.80,3.12
Syngene Intl,712.75,687.40,711.40,690.50,20.90,3.03
Happiest Minds ,646.10,592.00,619.35,601.25,18.10,3.01
HFCL,78.99,75.92,78.67,76.38,2.29,3
Akums Drugs P,547.65,525.25,545.40,529.55,15.85,2.99
Sagility India,43.74,41.36,43.35,42.09,1.26,2.99
Vishal Mega Mar,136.99,132.50,136.64,132.75,3.89,2.93
Godawari Power,194.76,188.15,194.14,188.65,5.49,2.91
Godawari Power,194.76,188.15,194.14,188.65,5.49,2.91
Gravita India,"1,884.90","1,815.10","1,867.40","1,815.00",52.40,2.89
Godfrey Phillip,"8,995.00","8,690.00","8,942.50","8,691.50",251.00,2.89
Aurobindo Pharm,"1,160.70","1,121.90","1,158.10","1,127.00",31.10,2.76
Biocon,399.10,386.00,398.15,387.45,10.70,2.76
Ircon Internati,182.60,174.08,180.96,176.11,4.85,2.75
Ircon Internati,182.60,174.08,180.96,176.11,4.85,2.75
Jindal Stainles,690.00,653.80,677.85,659.75,18.10,2.74
Anant Raj,581.00,547.40,578.40,563.10,15.30,2.72
India Cements,367.65,349.40,365.70,356.05,9.65,2.71
Bharat Forge,"1,223.50","1,185.00","1,220.40","1,188.50",31.90,2.68
Aster DM Health,593.15,575.00,591.50,576.35,15.15,2.63
DCM Shriram,"1,433.50","1,348.10","1,422.20","1,385.90",36.30,2.62
MphasiS,"2,782.00","2,687.00","2,774.30","2,703.80",70.50,2.61
GE Shipping,960.90,918.00,958.15,933.80,24.35,2.61
TITAGARH,876.35,838.45,869.60,847.85,21.75,2.57
Aditya Birla F,75.92,73.23,75.27,73.42,1.85,2.52
Elecon Eng,584.65,563.60,578.05,563.90,14.15,2.51
Elecon Eng,584.65,563.60,578.05,563.90,14.15,2.51
Exide Ind,392.80,381.40,391.70,382.10,9.60,2.51
IRB Infra,46.95,45.08,46.56,45.43,1.13,2.49
IRB Infra,46.95,45.08,46.56,45.43,1.13,2.49
Tejas Networks,601.00,566.55,591.25,576.90,14.35,2.49
Hyundai Motor,"2,105.60","2,040.00","2,100.70","2,050.00",50.70,2.47
EID Parry,"1,222.20","1,176.20","1,208.80","1,180.00",28.80,2.44
Gland,"2,131.00","2,056.00","2,102.10","2,052.40",49.70,2.42
Action Const,"1,125.90","1,077.70","1,118.60","1,092.70",25.90,2.37
Escorts Kubota,"3,499.70","3,410.90","3,489.80","3,409.40",80.40,2.36
Bikaji Foods,774.00,746.25,767.90,750.30,17.60,2.35
Jupiter Wagons,351.70,338.25,350.05,342.05,8.00,2.34
DOMS Industries,"2,388.50","2,285.10","2,370.30","2,316.10",54.20,2.34
PNB,109.50,106.25,109.29,106.79,2.50,2.34
Laurus Labs,913.70,875.65,909.85,889.25,20.60,2.32
Oberoi Realty,"1,682.70","1,616.30","1,664.80","1,627.20",37.60,2.31
Alkyl Amines,"2,214.00","2,155.30","2,206.70","2,157.20",49.50,2.29
ITI,302.00,291.55,300.25,293.55,6.70,2.28
PG Electroplast,810.00,780.40,806.95,789.35,17.60,2.23
PG Electroplast,810.00,780.40,806.95,789.35,17.60,2.23
Finolex Cables,913.95,881.20,908.25,888.55,19.70,2.22
Elgi Equipments,565.00,539.70,562.60,550.50,12.10,2.2
GlaxoSmithKline,"3,178.80","3,083.50","3,150.20","3,083.50",66.70,2.16
KPIT Tech,"1,227.50","1,188.10","1,218.40","1,192.80",25.60,2.15
NLC India,240.00,232.46,239.45,234.41,5.04,2.15
Larsen,"3,504.30","3,406.50","3,495.60","3,422.20",73.40,2.14
Amara Raja,"1,001.80",963.45,993.00,972.30,20.70,2.13
Reliance,"1,420.20","1,383.00","1,417.10","1,387.60",29.50,2.13
Shree Renuka,30.86,29.63,30.72,30.09,0.63,2.09
Berger Paints,575.00,554.90,571.50,560.10,11.40,2.04
HEG,527.00,510.60,525.35,514.85,10.50,2.04
HEG,527.00,510.60,525.35,514.85,10.50,2.04
Ajanta Pharma,"2,828.00","2,722.10","2,823.20","2,767.10",56.10,2.03
Gujarat Pipavav,160.08,154.30,159.66,156.48,3.18,2.03
Graphite India,553.50,534.90,550.40,539.50,10.90,2.02
Kirloskar Oil,924.00,893.55,920.80,902.65,18.15,2.01
LT Finance,206.48,201.83,206.02,201.99,4.03,2
Schneider Infra,918.00,870.00,909.70,891.85,17.85,2
Latent View,419.00,403.10,416.70,408.60,8.10,1.98
Ramco Cements,"1,195.00","1,150.60","1,193.30","1,170.10",23.20,1.98
Jubilant Ing.,809.00,780.75,803.70,788.35,15.35,1.95
Waaree Energies,"3,291.00","3,158.00","3,172.60","3,111.80",60.80,1.95
Bharti Hexacom,"1,799.40","1,719.20","1,792.50","1,758.40",34.10,1.94
REC,401.70,391.00,400.10,392.60,7.50,1.91
